"nome_uf","nome_mun","cnes","tipo_cnes","vinc_sus","n_cnes","tipopremat_espontaneo","tipopremat_eletivo","consprenat_menor_que_6_consultas","indice_de_gini_2010_municipio","idhm_2010_municipio","cluster"
"RIO DE JANEIRO","PETROPOLIS","2275562","Urbano","1",2626,0.0514089870525514,0.0872048743335872,0.150799695354151,0.55,0.745,"1"
"RIO DE JANEIRO","PETROPOLIS","2275635","Urbano","1",640,0.0328125,0.1171875,0.021875,0.55,0.745,"1"
"RIO DE JANEIRO","PETROPOLIS","3030415","Urbano","1",199,0.0050251256281407,0.0201005025125628,0.0804020100502513,0.55,0.745,"2"
"RIO DE JANEIRO","PETROPOLIS","3972976","Urbano","0",346,0.0722543352601156,0.0520231213872832,0.023121387283237,0.55,0.745,"1"
"RIO DE JANEIRO","PINHEIRAL","2271141","Urbano","1",221,0.0542986425339367,0.0271493212669683,0.0995475113122172,0.51,0.715,"2"
"RIO DE JANEIRO","PIRAI","2267187","Inter.","1",349,0.0429799426934097,0.0315186246418338,0.0487106017191977,0.5,0.708,"2"
"RIO DE JANEIRO","PORTO REAL","5307864","Urbano","1",163,0.049079754601227,0.0245398773006135,0.0429447852760736,0.42,0.713,"2"
"RIO DE JANEIRO","QUEIMADOS","182974","Urbano","1",1343,0.0171258376768429,0.00595681310498883,0.23752792256143,0.43,0.68,"2"
"RIO DE JANEIRO","QUISSAMA","2267209","Inter.","1",520,0.0269230769230769,0.00769230769230769,0.130769230769231,0.53,0.704,"2"
"RIO DE JANEIRO","RESENDE","2288907","Urbano","1",1547,0.0400775694893342,0.0976082740788623,0.118939883645766,0.52,0.768,"1"
"RIO DE JANEIRO","RESENDE","2299216","Urbano","1",315,0.0412698412698413,0.146031746031746,0.0349206349206349,0.52,0.768,"1"
"RIO DE JANEIRO","RESENDE","7149328","Urbano","0",249,0.0441767068273092,0.0602409638554217,0.0120481927710843,0.52,0.768,"2"
"RIO DE JANEIRO","RIO BONITO","2296241","Urbano","1",1170,0.0376068376068376,0.00256410256410256,0.125641025641026,0.48,0.71,"2"
